 ---------------------------------------------------------------------------------------------------------------------------------- 
|                                          Memory leak report for:  11/02/2020 23:01:18                                            |
 ---------------------------------------------------------------------------------------------------------------------------------- 


71 memory leaks found:

Alloc.   Addr       Size       Addr       Size                        BreakOn BreakOn              
Number Reported   Reported    Actual     Actual     Unused    Method  Dealloc Realloc Allocated by 
------ ---------- ---------- ---------- ---------- ---------- -------- ------- ------- --------------------------------------------------- 
000434 0x0AC3BC48 0x00000008 0x0AC3BC38 0x00000028 0x00000000 new         N       N    ??(00000)::??
000437 0x0AC3BCA0 0x00000008 0x0AC3BC90 0x00000028 0x00000000 new         N       N    ??(00000)::??
000292 0x0AC3BCF8 0x00000008 0x0AC3BCE8 0x00000028 0x00000000 new         N       N    ??(00000)::??
001432 0x0AC4BFD0 0x00000030 0x0AC4BFC0 0x00000050 0x00000004 new         N       N    ??(00000)::??
000288 0x0AC3C0C0 0x00000008 0x0AC3C0B0 0x00000028 0x00000000 new         N       N    ??(00000)::??
000289 0x0AC3C2D0 0x00000008 0x0AC3C2C0 0x00000028 0x00000000 new         N       N    ??(00000)::??
001399 0x0AC3C380 0x00000008 0x0AC3C370 0x00000028 0x00000000 new         N       N    ??(00000)::??
001382 0x0AC3C3D8 0x00000008 0x0AC3C3C8 0x00000028 0x00000000 new         N       N    ??(00000)::??
001402 0x0AC3C5E8 0x00000008 0x0AC3C5D8 0x00000028 0x00000000 new         N       N    ??(00000)::??
001487 0x0AC4C650 0x00000030 0x0AC4C640 0x00000050 0x00000004 new         N       N    ??(00000)::??
000438 0x0AC3C698 0x00000008 0x0AC3C688 0x00000028 0x00000000 new         N       N    ??(00000)::??
000439 0x0AC3C6F0 0x00000008 0x0AC3C6E0 0x00000028 0x00000000 new         N       N    ??(00000)::??
001381 0x0AC4C860 0x0000001C 0x0AC4C850 0x0000003C 0x00000000 new         N       N    ??(00000)::??
000426 0x0AC4C930 0x0000001C 0x0AC4C920 0x0000003C 0x00000000 new         N       N    ??(00000)::??
000273 0x0AC4CA00 0x00000018 0x0AC4C9F0 0x00000038 0x00000000 new         N       N    ??(00000)::??
001451 0x0AC4CAD0 0x00000018 0x0AC4CAC0 0x00000038 0x00000000 new         N       N    ??(00000)::??
001396 0x0AC4CE78 0x00000018 0x0AC4CE68 0x00000038 0x00000000 new         N       N    ??(00000)::??
000285 0x0446D018 0x0000E21D 0x0446D008 0x0000E23D 0x00000000 new[]       N       N    ??(00000)::??
001456 0x0448DA30 0x0000002C 0x0448DA20 0x0000004C 0x00000008 new         N       N    ??(00000)::??
000296 0x0448E870 0x00000510 0x0448E860 0x00000530 0x00000000 new         N       N    ??(00000)::??
001467 0x0C28F050 0x001466E1 0x0C28F040 0x00146701 0x00000000 new[]       N       N    ??(00000)::??
000440 0x0447FF80 0x00004D13 0x0447FF70 0x00004D33 0x0000001C new         N       N    ??(00000)::??
